StudentID,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Assignment 6,Quiz 1,Quiz 2,Rata - Rata,UTS,UAS
124330006,100,0,0,0,0,0,76,0,22,0,0
124330012,100,0,0,0,0,0,96,0,"24,5",0,0
124330018,100,0,0,0,0,0,60,0,20,0,0
124330024,100,0,0,0,0,0,80,0,"22,5",0,0
124330030,100,0,0,0,0,0,64,0,"20,5",0,0
124330036,100,0,0,0,0,0,80,0,"22,5",0,0
124330042,100,0,0,0,0,0,64,0,"20,5",0,0
124330048,100,0,0,0,0,0,92,0,24,0,0
124330054,100,0,0,0,0,0,64,0,"20,5",0,0
124330060,100,0,0,0,0,0,56,0,"19,5",0,0
124330066,100,0,0,0,0,0,80,0,"22,5",0,0
124330078,100,0,0,0,0,0,-,0,"14,28571429",0,0
124330084,100,0,0,0,0,0,48,0,"18,5",0,0
124330090,100,0,0,0,0,0,92,0,24,0,0
124330096,100,0,0,0,0,0,76,0,22,0,0
124330102,100,0,0,0,0,0,72,0,"21,5",0,0
124330108,100,0,0,0,0,0,72,0,"21,5",0,0
124330113,100,0,0,0,0,0,32,0,"16,5",0,0
124350006,100,0,0,0,0,0,56,0,"19,5",0,0
124350012,100,0,0,0,0,0,48,0,"18,5",0,0
124350018,100,0,0,0,0,0,84,0,23,0,0
124350024,100,0,0,0,0,0,72,0,"21,5",0,0
124350030,100,0,0,0,0,0,68,0,21,0,0
124350036,100,0,0,0,0,0,40,0,"17,5",0,0
124350042,100,0,0,0,0,0,84,0,23,0,0
124350048,100,0,0,0,0,0,52,0,19,0,0
124350054,100,0,0,0,0,0,-,0,"14,28571429",0,0
124350060,100,0,0,0,0,0,60,0,20,0,0
124350066,100,0,0,0,0,0,60,0,20,0,0
124350072,100,0,0,0,0,0,84,0,23,0,0
124350078,100,0,0,0,0,0,68,0,21,0,0
124350084,100,0,0,0,0,0,40,0,"17,5",0,0
124350090,100,0,0,0,0,0,92,0,24,0,0
124350096,100,0,0,0,0,0,40,0,"17,5",0,0
124350102,100,0,0,0,0,0,44,0,18,0,0
124350108,100,0,0,0,0,0,36,0,17,0,0
124350114,100,0,0,0,0,0,28,0,16,0,0
124350120,100,0,0,0,0,0,-,0,"14,28571429",0,0
124350126,100,0,0,0,0,0,48,0,"18,5",0,0
124350132,100,0,0,0,0,0,12,0,14,0,0
124350134,100,0,0,0,0,0,52,0,19,0,0
124420006,100,0,0,0,0,0,60,0,20,0,0
124420018,100,0,0,0,0,0,88,0,"23,5",0,0
124420024,100,0,0,0,0,0,52,0,19,0,0
124420030,100,0,0,0,0,0,84,0,23,0,0
124420036,100,0,0,0,0,0,60,0,20,0,0
124420042,100,0,0,0,0,0,92,0,24,0,0
124420048,100,0,0,0,0,0,92,0,24,0,0
124420054,100,0,0,0,0,0,80,0,"22,5",0,0
124420060,100,0,0,0,0,0,64,0,"20,5",0,0
124420066,100,0,0,0,0,0,40,0,"17,5",0,0
124420072,100,0,0,0,0,0,84,0,23,0,0
124420078,100,0,0,0,0,0,84,0,23,0,0
124420084,100,0,0,0,0,0,76,0,22,0,0
124420090,100,0,0,0,0,0,68,0,21,0,0
124420096,100,0,0,0,0,0,88,0,"23,5",0,0
124420102,100,0,0,0,0,0,80,0,"22,5",0,0
124420108,100,0,0,0,0,0,-,0,"14,28571429",0,0
124420114,100,0,0,0,0,0,80,0,"22,5",0,0
124500006,100,0,0,0,0,0,88,0,"23,5",0,0
124500012,100,0,0,0,0,0,92,0,24,0,0
124500018,100,0,0,0,0,0,32,0,"16,5",0,0
124500024,100,0,0,0,0,0,88,0,"23,5",0,0
124500030,100,0,0,0,0,0,92,0,24,0,0
124500036,100,0,0,0,0,0,88,0,"23,5",0,0
124500042,100,0,0,0,0,0,64,0,"20,5",0,0
124500048,100,0,0,0,0,0,76,0,22,0,0
124500054,100,0,0,0,0,0,44,0,18,0,0
124500060,100,0,0,0,0,0,92,0,24,0,0
124500066,100,0,0,0,0,0,96,0,"24,5",0,0
124500072,100,0,0,0,0,0,96,0,"24,5",0,0
124500078,100,0,0,0,0,0,32,0,"16,5",0,0
124500084,100,0,0,0,0,0,56,0,"19,5",0,0
124500090,100,0,0,0,0,0,84,0,23,0,0
124500096,100,0,0,0,0,0,96,0,"24,5",0,0
124500102,100,0,0,0,0,0,76,0,22,0,0
